epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.2326,1.16084,3.54639,1.28605,0.00725,1,0.33537,0.1509,0.49822,3.22938,0.59578,3.333e-05,1.111e-05,3.333e-05,1.111e-05,3.333e-05,1.111e-05,3.333e-05,1.111e-05
2,24.0232,1.11184,3.50343,1.16228,0.00733,1,0.32102,0.13716,0.47673,3.22642,0.58314,9.80102e-05,3.26701e-05,9.80102e-05,3.26701e-05,9.80102e-05,3.26701e-05,9.80102e-05,3.26701e-05
3,35.413,1.105,3.39855,1.31926,0.00747,1,0.2881,0.13121,0.4657,3.22634,0.5748,0.000160051,5.33502e-05,0.000160051,5.33502e-05,0.000160051,5.33502e-05,0.000160051,5.33502e-05
4,46.8747,1.20613,3.67883,1.32224,0.00763,1,0.31249,0.14128,0.44642,3.22501,0.56944,0.000219451,7.31505e-05,0.000219451,7.31505e-05,0.000219451,7.31505e-05,0.000219451,7.31505e-05
5,58.2984,0.8843,3.44145,1.19326,0.00753,1,0.25895,0.13987,0.42672,3.2239,0.56752,0.000276212,9.20708e-05,0.000276212,9.20708e-05,0.000276212,9.20708e-05,0.000276212,9.20708e-05
6,69.6471,0.85954,3.41962,1.12646,0.00765,1,0.30262,0.15029,0.42083,3.22306,0.57111,0.000330334,0.000110111,0.000330334,0.000110111,0.000330334,0.000110111,0.000330334,0.000110111
7,80.9304,1.1555,3.59857,1.73888,0.00763,1,0.32949,0.1378,0.43096,3.223,0.58207,0.000381815,0.000127272,0.000381815,0.000127272,0.000381815,0.000127272,0.000381815,0.000127272
8,92.052,0.76504,3.3815,1.14697,0.00768,1,0.30522,0.12977,0.42042,3.22274,0.5868,0.000430657,0.000143552,0.000430657,0.000143552,0.000430657,0.000143552,0.000430657,0.000143552
9,102.276,0.728,3.32813,1.0999,0.00768,1,0.358,0.13955,0.42323,3.22103,0.58926,0.000476859,0.000158953,0.000476859,0.000158953,0.000476859,0.000158953,0.000476859,0.000158953
10,112.525,1.00024,3.51137,1.13372,0.00761,1,0.3652,0.13635,0.42012,3.22005,0.59735,0.000520421,0.000173474,0.000520421,0.000173474,0.000520421,0.000173474,0.000520421,0.000173474
11,122.201,0.88965,3.39661,1.11993,0.00757,1,0.39353,0.13166,0.41536,3.22064,0.60554,0.000561344,0.000187115,0.000561344,0.000187115,0.000561344,0.000187115,0.000561344,0.000187115
12,132.355,0.91751,3.35295,1.11882,0.00753,1,0.48983,0.1434,0.40468,3.21906,0.60457,0.000599627,0.000199876,0.000599627,0.000199876,0.000599627,0.000199876,0.000599627,0.000199876
13,142.675,1.23025,4.0372,1.49143,0.00763,1,0.46228,0.1354,0.39508,3.2191,0.60815,0.00063527,0.000211757,0.00063527,0.000211757,0.00063527,0.000211757,0.00063527,0.000211757
14,153.031,1.14814,3.55411,1.4221,0.0076,1,0.46564,0.13263,0.37724,3.21759,0.59885,0.000668273,0.000222758,0.000668273,0.000222758,0.000668273,0.000222758,0.000668273,0.000222758
15,162.857,0.61971,3.21993,1.05325,0.00772,1,0.42399,0.12882,0.39154,3.21744,0.60553,0.000698637,0.000232879,0.000698637,0.000232879,0.000698637,0.000232879,0.000698637,0.000232879
16,173.393,0.61362,3.26709,0.98623,0.00779,1,0.3644,0.12774,0.39775,3.21716,0.60724,0.000726361,0.00024212,0.000726361,0.00024212,0.000726361,0.00024212,0.000726361,0.00024212
17,183.145,0.92478,3.48054,1.10068,0.00766,1,0.34187,0.12747,0.39377,3.21466,0.60698,0.000751445,0.000250482,0.000751445,0.000250482,0.000751445,0.000250482,0.000751445,0.000250482
18,193.876,0.44579,3.34719,0.98815,0.00768,1,0.30668,0.11994,0.41064,3.21358,0.61894,0.000773889,0.000257963,0.000773889,0.000257963,0.000773889,0.000257963,0.000773889,0.000257963
19,204.994,0.60351,3.28192,1.0374,0.00765,1,0.26451,0.12944,0.40296,3.21331,0.61657,0.000793694,0.000264565,0.000793694,0.000264565,0.000793694,0.000264565,0.000793694,0.000264565
20,215.136,0.54815,3.1901,0.98647,0.00771,1,0.25072,0.1291,0.38994,3.21089,0.61019,0.000810859,0.000270286,0.000810859,0.000270286,0.000810859,0.000270286,0.000810859,0.000270286
21,226.182,0.64451,3.2215,0.89512,0.00781,1,0.23831,0.14861,0.38923,3.2108,0.61136,0.000825384,0.000275128,0.000825384,0.000275128,0.000825384,0.000275128,0.000825384,0.000275128
22,236.66,0.47939,3.23261,1.00272,0.00779,1,0.22794,0.12816,0.39148,3.20937,0.59733,0.00083727,0.00027909,0.00083727,0.00027909,0.00083727,0.00027909,0.00083727,0.00027909
23,247.058,0.57909,3.20942,1.04736,0.00791,1,0.23532,0.11628,0.39222,3.20746,0.59762,0.000846515,0.000282172,0.000846515,0.000282172,0.000846515,0.000282172,0.000846515,0.000282172
24,257.213,0.64517,3.3004,0.99379,0.00783,1,0.20855,0.10182,0.39783,3.20581,0.59717,0.000853121,0.000284374,0.000853121,0.000284374,0.000853121,0.000284374,0.000853121,0.000284374
25,267.986,0.67329,3.20598,0.94962,0.00792,1,0.22491,0.11011,0.40161,3.20418,0.59831,0.000857088,0.000285696,0.000857088,0.000285696,0.000857088,0.000285696,0.000857088,0.000285696
26,278.357,0.64251,3.89682,1.19018,0.00765,1,0.19902,0.11949,0.40259,3.20077,0.59607,0.000858414,0.000286138,0.000858414,0.000286138,0.000858414,0.000286138,0.000858414,0.000286138
27,288.128,0.56302,3.1447,0.95871,0.00765,1,0.19187,0.1278,0.40825,3.1987,0.59916,0.000857101,0.0002857,0.000857101,0.0002857,0.000857101,0.0002857,0.000857101,0.0002857
28,296.745,0.49889,3.18306,0.94734,0.00765,1,0.19187,0.1278,0.40825,3.1987,0.59916,0.000853148,0.000284383,0.000853148,0.000284383,0.000853148,0.000284383,0.000853148,0.000284383
29,306.575,0.46976,3.17401,0.90728,0.00753,1,0.19894,0.12535,0.40042,3.19795,0.59596,0.000846555,0.000282185,0.000846555,0.000282185,0.000846555,0.000282185,0.000846555,0.000282185
30,316.454,0.54553,3.21244,1.04563,0.00751,1,0.18603,0.1275,0.39221,3.19315,0.59404,0.000837323,0.000279108,0.000837323,0.000279108,0.000837323,0.000279108,0.000837323,0.000279108
31,325.301,0.54924,3.13929,0.92259,0.00751,1,0.18603,0.1275,0.39221,3.19315,0.59404,0.000825451,0.00027515,0.000825451,0.00027515,0.000825451,0.00027515,0.000825451,0.00027515
32,335.138,1.3677,3.5877,1.60182,0.00755,1,0.16886,0.1164,0.38683,3.18805,0.58997,0.000810939,0.000270313,0.000810939,0.000270313,0.000810939,0.000270313,0.000810939,0.000270313
33,344.882,0.56118,3.14138,0.94252,0.00754,1,0.15143,0.11222,0.37355,3.18251,0.58408,0.000793787,0.000264596,0.000793787,0.000264596,0.000793787,0.000264596,0.000793787,0.000264596
34,353.493,0.46324,3.13005,1.02331,0.00754,1,0.15143,0.11222,0.37355,3.18251,0.58408,0.000773996,0.000257999,0.000773996,0.000257999,0.000773996,0.000257999,0.000773996,0.000257999
35,363.544,0.43772,3.1925,0.93358,0.00736,1,0.13982,0.1104,0.36396,3.17697,0.57997,0.000751565,0.000250522,0.000751565,0.000250522,0.000751565,0.000250522,0.000751565,0.000250522
36,373.657,0.37649,3.13098,0.91455,0.00731,1,0.18975,0.15625,0.3555,3.16991,0.57649,0.000726494,0.000242165,0.000726494,0.000242165,0.000726494,0.000242165,0.000726494,0.000242165
37,382.819,0.40522,3.21064,0.95323,0.00731,1,0.18975,0.15625,0.3555,3.16991,0.57649,0.000698783,0.000232928,0.000698783,0.000232928,0.000698783,0.000232928,0.000698783,0.000232928
38,393.216,0.33535,3.24017,0.96422,0.00724,1,0.19523,0.16607,0.34793,3.16131,0.56519,0.000668433,0.000222811,0.000668433,0.000222811,0.000668433,0.000222811,0.000668433,0.000222811
39,403.388,0.33538,3.10275,0.92729,0.00719,1,0.18375,0.15846,0.33503,3.15344,0.5575,0.000635443,0.000211814,0.000635443,0.000211814,0.000635443,0.000211814,0.000635443,0.000211814
40,412.236,0.81336,3.45769,1.15238,0.00719,1,0.18375,0.15846,0.33503,3.15344,0.5575,0.000599813,0.000199938,0.000599813,0.000199938,0.000599813,0.000199938,0.000599813,0.000199938
41,421.942,0.50903,4.09077,0.99858,0.00707,1,0.19159,0.16917,0.33225,3.14524,0.55565,0.000561544,0.000187181,0.000561544,0.000187181,0.000561544,0.000187181,0.000561544,0.000187181
42,432.283,0.85188,4.06151,1.23095,0.00697,1,0.27946,0.23904,0.32913,3.1397,0.55469,0.000520635,0.000173545,0.000520635,0.000173545,0.000520635,0.000173545,0.000520635,0.000173545
43,441.214,0.45866,3.83525,1.07972,0.00697,1,0.27946,0.23904,0.32913,3.1397,0.55469,0.000477086,0.000159029,0.000477086,0.000159029,0.000477086,0.000159029,0.000477086,0.000159029
44,451.444,0.44946,3.9584,0.97242,0.00667,1,0.29541,0.25196,0.33128,3.12547,0.5487,0.000430897,0.000143632,0.000430897,0.000143632,0.000430897,0.000143632,0.000430897,0.000143632
45,460.358,0.26876,3.79556,0.95458,0.00667,1,0.29541,0.25196,0.33128,3.12547,0.5487,0.000382068,0.000127356,0.000382068,0.000127356,0.000382068,0.000127356,0.000382068,0.000127356
46,470.584,0.38688,3.99555,0.99176,0.0066,1,0.29739,0.24913,0.33292,3.10927,0.55123,0.0003306,0.0001102,0.0003306,0.0001102,0.0003306,0.0001102,0.0003306,0.0001102
47,478.974,0.37554,3.85733,0.97559,0.0066,1,0.29739,0.24913,0.33292,3.10927,0.55123,0.000276492,9.21641e-05,0.000276492,9.21641e-05,0.000276492,9.21641e-05,0.000276492,9.21641e-05
48,488.728,0.3979,3.69255,0.88164,0.00642,1,0.26337,0.22363,0.32827,3.09363,0.54732,0.000219745,7.32482e-05,0.000219745,7.32482e-05,0.000219745,7.32482e-05,0.000219745,7.32482e-05
49,497.295,0.41456,3.76858,1.06166,0.00642,1,0.26337,0.22363,0.32827,3.09363,0.54732,0.000160357,5.34524e-05,0.000160357,5.34524e-05,0.000160357,5.34524e-05,0.000160357,5.34524e-05
50,507.196,0.34143,3.95297,0.96838,0.00618,1,0.231,0.19339,0.3314,3.0869,0.5505,9.83302e-05,3.27767e-05,9.83302e-05,3.27767e-05,9.83302e-05,3.27767e-05,9.83302e-05,3.27767e-05
